"Item type","Authors","Editors","Title","Journal","Publication year","Volume","Issue","Pages","Publisher","Address","Book title","Date published","ISBN","ISSN","URLs","DOI","Abstract","Keywords","Notes","Series"
"Journal Article","Jahng KE","","Maternal abusive parenting and young South Korean adolescents' problematic smartphone use: The moderating effects of time spent hanging out with peers and trusting peer relationships","Children and Youth Services Review","2019","98","","96-104","","","","2019","","0190-7409","https://www.sciencedirect.com/science/article/pii/S0190740918308648;http://dx.doi.org/10.1016/j.childyouth.2018.12.028","10.1016/j.childyouth.2018.12.028","Introduction Young adolescents with abusive mothers act abusively are at high risk of developing problematic smartphone use as a means of avoiding an unsatisfying reality and making connections with others via a smartphone (Kwak, Kim, & Yoon, 2018). This study is based on the following hypotheses: Mothers' abusive parenting predicts young adolescents' problematic smartphone use; and the relationship between mothers' abusive parenting and young adolescents' problematic smartphone use is moderated by trusting peer relationships and/or the amount of time spent hanging out with peers. Methods Participants consisted of 506 middle school students aged between 13 and 15 years in South Korea. Results & conclusions Using multiple hierarchical regression, the results reveal the effect of mothers' abusive parenting on adolescents' problematic smartphone use, and the moderating effect of the amount of time spent hanging out with peers on the relationship between abusive parenting and problematic smartphone use. Adolescents' perceived trusting peer relationships did not moderate the relationship between the two variables. These results indicate that forming at least a minimum quantity of peer relationship contributes to fulfilling the need to belong, thereby buffering the impact of mothers' abusive parenting on adolescents' problematic smartphone use.","Early adolescence, Problematic smartphone use, mothers' abusive parenting, Time spent hanging out with peers, Trusting peer relationships","",""
"Journal Article","Allom V,Mullan B","","Individual differences in executive function predict distinct eating behaviours","Appetite","2014","80","","123-130","","","","2014","","0195-6663","https://www.sciencedirect.com/science/article/pii/S0195666314002098;http://dx.doi.org/10.1016/j.appet.2014.05.007","10.1016/j.appet.2014.05.007","Executive function has been shown to influence the performance of health behaviours. Healthy eating involves both the inhibitory behaviour of consuming low amounts of saturated fat, and the initiatory behaviour of consuming fruit and vegetables. Based on this distinction, it was hypothesised that these behaviours would have different determinants. Measures of inhibitory control and updating were administered to 115 participants across 2 days. One week later saturated fat intake and fruit and vegetable consumption were measured. Regression analyses revealed a double dissociation effect between the different executive function variables and the prediction of eating behaviours. Specifically, inhibitory control, but not updating, predict saturated fat intake, whilst updating, but not inhibitory control, was related to fruit and vegetable consumption. In both cases, better executive function capacity was associated with healthier eating behaviour. The results support the idea that behaviours that require stopping a response such as limiting saturated fat intake, have different determinants to those that require the initiation of a response such as fruit and vegetable consumption. The findings suggest that interventions aimed at improving these behaviours should address the relevant facet of executive function.","Executive function, Inhibitory control, Working memory, Updating, Healthy eating","",""
"Journal Article","Özdemir Y,Kuzucu Y,Ak Ş","","Depression, loneliness and Internet addiction: How important is low self-control?","Computers in Human Behavior","2014","34","","284-290","","","","2014","","0747-5632","https://www.sciencedirect.com/science/article/pii/S0747563214000697;http://dx.doi.org/10.1016/j.chb.2014.02.009","10.1016/j.chb.2014.02.009","This study aimed to explore both the direct and indirect relationships between depression, loneliness, low self-control, and Internet addiction in a sample of Turkish youth, based on a cognitive-behavioral model of generalized problematic Internet use. Data for the present study were collected from 648 undergraduate students with a mean age of 22.46years (SD=2.45). Participants completed scales for depression, loneliness, self-control and Internet addiction. Structural equation modeling was used to test the model in which depression and loneliness predicted Internet addiction through low self-control. The findings revealed that of the two factors, only loneliness was related to Internet addiction through low self-control. The results are discussed in terms of the cognitive-behavioral model of generalized problematic Internet use, and implications for practice are considered.","Depression, Loneliness, Internet addiction, Self-control","",""
"Journal Article","Denson TF,Wilkowski BM,DeWall CN,Friese M,Hofmann W,Ferguson EL,Capper MM,Kasumovic MM","","“Thou Shalt Kill”: Practicing self-control supports adherence to personal values when asked to aggress","Journal of Experimental Social Psychology","2017","69","","71-78","","","","2017","","0022-1031","https://www.sciencedirect.com/science/article/pii/S0022103116300294;http://dx.doi.org/10.1016/j.jesp.2016.09.001","10.1016/j.jesp.2016.09.001","Poor self-control is a root cause of aggression and criminality. But people can improve their self-control through repetitive practice. Because self-control involves acting in accordance with personal values, practicing self-control can promote attainment of value-consistent goals. The present research tested the hypothesis that practicing self-control could both decrease and increase obedient aggression. In Experiment 1, relative to the active control group, participants who practiced self-control were more hesitant to engage in mock violence (e.g., “cutting” the experimenter's throat with a rubber knife), especially for participants high in dispositional empathy. In Experiment 2, practicing self-control increased obedience to kill insects, but only among participants who felt little moral responsibility for their actions. There was a trend for decreased killing among participants who felt morally responsible for their actions. Our findings suggest that when asked to behave aggressively, self-control promotes adherence to personal values, which may or may not fuel aggression.","Self-control training, Aggression, Bug killing, Empathy, Moral responsibility","",""
"Journal Article","Robinson MD,Persich MR,Irvin RL","","An ego effectiveness perspective of successful self-control: An individual difference and its links to social functioning and well-being","Journal of Research in Personality","2022","97","","104207","","","","2022","","0092-6566","https://www.sciencedirect.com/science/article/pii/S0092656622000204;http://dx.doi.org/10.1016/j.jrp.2022.104207","10.1016/j.jrp.2022.104207","Recent theorizing has emphasized the need to develop new models of successful self-control. Using materials that describe friendship-related challenges, potential ways of responding to them, and distinct frames targeting the acting self as well as more abstract ideas concerning effectiveness, three studies (total N = 542) quantified friendship-related ego effectiveness as a within-subject correlation between self-likelihood ratings and effectiveness ratings. Ego effective individuals reported higher levels of self-control (Study 1), were deemed to be more socially competent by peers (Study 2), and experienced higher levels of well-being in their daily lives (Study 3). The results highlight a form of alignment within the self-system that can be leveraged to understand variations in social behavior as well as social and emotional functioning.","Ego, Self-regulation, Situational judgment, Social behavior, Well-being","",""
"Journal Article","Bertrams A,Dickhäuser O","","High-school students' need for cognition, self-control capacity, and school achievement: Testing a mediation hypothesis","Learning and Individual Differences","2009","19","1","135-138","","","","2009","","1041-6080","https://www.sciencedirect.com/science/article/pii/S1041608008000575;http://dx.doi.org/10.1016/j.lindif.2008.06.005","10.1016/j.lindif.2008.06.005","In the present article, we examine the hypothesis that high-school students' motivation to engage in cognitive endeavors (i.e., their need for cognition; NFC) is positively related to their dispositional self-control capacity. Furthermore, we test the prediction that the relation between NFC and school achievement is mediated by self-control capacity. A questionnaire study with grade ten high-school students (N=604) revealed the expected relations between NFC, self-control capacity, and school achievement. Sobel tests showed that self-control capacity mediated the relation between NFC and school grades as well as grade retention.","Need for cognition, Self-control, Self-regulation, School achievement","",""
"Journal Article","Vazsonyi AT,Ksinan AJ,Ksinan Jiskrova G,Mikuška J,Javakhishvili M,Cui G","","To grit or not to grit, that is the question!","Journal of Research in Personality","2019","78","","215-226","","","","2019","","0092-6566","https://www.sciencedirect.com/science/article/pii/S0092656618302368;http://dx.doi.org/10.1016/j.jrp.2018.12.006","10.1016/j.jrp.2018.12.006","The current study tested the validity of grit as a non-cognitive construct related to, yet distinct from self-control. Data were collected from N = 1907 adults spanning the life-course (53.1% female, M age = 41.4 years). Associations between grit and present and past goals were very similar to ones observed with self-control. Extensive model tests using structural equation modeling provided evidence of substantial overlap between these two constructs, calling into question the conceptual and empirical distinctiveness of grit vis-à-vis self-control, as well as the importance of grit as a unique and independent characteristic salient for the pursuit and achievement of long-term goals. This finding was consistent and invariant across adult developmental periods. Study implications for grit-investment are discussed.","Self-control, Self-regulation, Self-discipline, Educational goals, Occupational goals","",""
"Journal Article","Adams GS,Zou X,Inesi ME,Pillutla MM","","Forgiveness is not always divine: When expressing forgiveness makes others avoid you","Organizational Behavior and Human Decision Processes","2015","126","","130-141","","","","2015","","0749-5978","https://www.sciencedirect.com/science/article/pii/S074959781400079X;http://dx.doi.org/10.1016/j.obhdp.2014.10.003","10.1016/j.obhdp.2014.10.003","Organizational scholars have recently become interested in forgiveness as a way to resolve workplace conflicts and repair relationships. We question the assumption that forgiveness always has these relational benefits. In three studies we investigated participants’ responses to people who expressed forgiveness of them versus those who did not. We found that when the ostensible transgressor did not believe he or she had committed a wrongdoing, expressing forgiveness damaged the relationship relative to a control condition. This effect occurred when participants were made to believe that a real person had forgiven them (Studies 1 and 2) and when they imagined a co-worker had forgiven them (Study 3). Furthermore, in the absence of wrongdoing, participants’ perceptions of the forgiver as self-righteous mediated the effect of forgiveness on avoidance of forgivers (Studies 2 and 3). We discuss implications for conflict management.","Forgive, Self-righteous, Moral superiority, Transgression, Conflict repair","",""
"Journal Article","Choi I,Lim S,Catapano R,Choi J","","Comparing two roads to success: Self-control predicts achievement and positive affect predicts relationships","Journal of Research in Personality","2018","76","","50-63","","","","2018","","0092-6566","https://www.sciencedirect.com/science/article/pii/S009265661830134X;http://dx.doi.org/10.1016/j.jrp.2018.07.001","10.1016/j.jrp.2018.07.001","Previous work suggests that two key predictors of success across a variety of domains are self-control and emotional well-being (EWB). In the current project, we explore the relative contributions of these two factors to success in two domains: academic and professional achievement, and interpersonal relationships. Across five studies (N = 1130, 51.06% female), we find that although both are important to success, self-control is more predictive of success in achievement-related domains, while EWB is more predictive of success in relationship-related domains. This finding holds for college students (Studies 1 and 5), middle-school students (Study 2), East Asian adults (Study 3), and North American adults (Study 4), suggesting that it is cross-cultural and robust across age and measurement.","Self-control, Positive affect, Emotional well-being, Success, Interpersonal relationship, Academic achievement, Professional achievement","",""
"Book Chapter","Worthington EL,Lavelock C,vanOyen Witvliet C,Rye MS,Tsang JA,Toussaint L","Boyle GJ,Saklofske DH,Matthews G","Chapter 17 - Measures of Forgiveness: Self-Report, Physiological, Chemical, and Behavioral Indicators","","2015","","","474-502","Academic Press","San Diego","Measures of Personality and Social Psychological Constructs","2015","9780123869159","","https://www.sciencedirect.com/science/article/pii/B9780123869159000176;http://dx.doi.org/10.1016/B978-0-12-386915-9.00017-6","10.1016/B978-0-12-386915-9.00017-6","We review 14 measures of forgiveness, including measures of state forgiveness, forgivingness as a disposition or trait, self-reported state self-forgiveness, and trait self-forgivingness. The state forgiveness measures include self-report measures, chemical measures of state unforgiveness and forgiveness, measures of peripheral physiology (i.e., blood pressure, heart rate, skin conductance, and electrical activity of facial muscles) to supplement self-reports – unforgiveness, measures of brain activity associated with forgiveness, and behavioral indices of forgiveness. We also review a ten-item scale and a five-scenario scale of dispositional forgivingness. Self-forgiveness may also be assessed at state (one measure) and trait levels (one measure). These measures of forgiveness and their various targets (self or other) and different levels (state or trait) are generally strong – with considerable evidence supporting estimated reliabilities and construct validities.","forgiveness, forgivingness, measures, scales, self-forgiveness, state self-forgiveness, trait self-forgivingness","",""
"Journal Article","Tedesqui RA,Young BW","","Comparing the contribution of conscientiousness, self-control, and grit to key criteria of sport expertise development","Psychology of Sport and Exercise","2018","34","","110-118","","","","2018","","1469-0292","https://www.sciencedirect.com/science/article/pii/S1469029217303801;http://dx.doi.org/10.1016/j.psychsport.2017.10.002","10.1016/j.psychsport.2017.10.002","In order to develop expertise, athletes need to amass a high volume of deliberate practice activities over a long period of time. Three personality traits that conceptually relate to long-term goal pursuits and that have been linked to achievement outside sport are conscientiousness, self-control, and grit. This investigation examined how conscientiousness, alone (Study 1) and compared to self-control and grit (Study 2), explained criteria related to sport expertise development. Athletes (N = 270, 125 female, Mage = 21.27, SD = 6.91) ranging in skill level (local to international) completed surveys for personality, deliberate practice (DP), engagement in practice contexts (mandatory and optional), and threats to commitment (thoughts about quitting or switching out of one's sport). In Study 1, broad conscientiousness predicted engagement in both contexts of practice and fewer threats to commitment. At the facet-level, achievement-striving was the best predictor of DP and engagement in practice contexts. No conscientiousness facets predicted threats to commitment or higher skill group membership. In the comparative analyses between facets of conscientiousness, self-control, and grit (Study 2), grit variables performed best: perseverance of effort explained deliberate practice and higher skill group membership and consistency of interests associated with less thoughts of quitting/switching out of sport. Achievement-striving, dutifulness and self-discipline also showed effects associated with key criteria. These findings suggest, for example, that screening for perseverance of effort may help talent selectors identify which athletes have a personality advantage to persevere through the highly effortful conditions of DP. Other talent identification and development implications are discussed.","Personality, Deliberate practice, Perseverance of effort, Consistency of interests, Talent identification and development","",""
"Journal Article","Greitemeyer T,Sagioglou C","","Predictors of nonsuicidal self-injury: The independent contribution of benign masochism and antisocial personality","Personality and Individual Differences","2021","168","","110380","","","","2021","","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886920305717;http://dx.doi.org/10.1016/j.paid.2020.110380","10.1016/j.paid.2020.110380","The present research examined the relationships between engagement in nonsuicidal self-injury (NSSI), benign masochism, and antisocial personality traits. Because both benign masochists and individuals who engage in self-injury find pleasure in experiencing pain, we expected a positive relationship between benign masochism and NSSI. We further anticipated NSSI to be positively related to antisocial personality traits due to the shared propensity for aggression and violence. In fact, two studies showed that benign masochism, Machiavellianism, psychopathy, everyday sadism, and trait aggression were positively related to mild forms of injurious self-harm behaviors. Although benign masochism and antisocial personality traits were positively correlated, they independently contributed to an increased risk of engagement in NSSI. Vulnerable narcissism was also positively correlated, whereas a measure of grandiose narcissism revealed less conclusive evidence. Overall, the tendencies to go against oneself in a benign form and to go against others are both predictive of the propensity to engage in mild forms of self-harming behaviors.","Benign masochism, Dark Tetrad, Trait aggression, Nonsuicidal self-injury","",""
"Journal Article","Kokkoris MD,Baumeister RF,Kühnen U","","Freeing or freezing decisions? Belief in free will and indecisiveness","Organizational Behavior and Human Decision Processes","2019","154","","49-61","","","","2019","","0749-5978","https://www.sciencedirect.com/science/article/pii/S0749597818308276;http://dx.doi.org/10.1016/j.obhdp.2019.08.002","10.1016/j.obhdp.2019.08.002","Does belief in free will free or freeze decision-making? The existentialist hypothesis, rooted in views of free will as a source of anguish and hesitation, would predict that free will impedes decisions by increasing indecisiveness. In contrast, the evolutionary hypothesis, rooted in views of free will as a driver of effective social functioning, would predict that free will facilitates decisions by reducing indecisiveness. Results of five studies using various measures of indecisiveness (trait) and indecision (state), various operationalizations of free will beliefs (measured and manipulated), and various decision tasks provide support to the evolutionary hypothesis. Belief in free will is consistently associated with lower indecisiveness. However, one boundary condition of this effect is that it is limited to individuals with high self-concept clarity. These findings contribute to the literature on indecisiveness and advance our knowledge about the benefits of belief in free will for decision-making.","Free will, Indecisiveness, Self-concept clarity, Decision-making, Existentialism","",""
"Journal Article","Laird RD,Marks LD,Marrero MD","","Religiosity, self-control, and antisocial behavior: Religiosity as a promotive and protective factor","Journal of Applied Developmental Psychology","2011","32","2","78-85","","","","2011","","0193-3973","https://www.sciencedirect.com/science/article/pii/S0193397310001322;http://dx.doi.org/10.1016/j.appdev.2010.12.003","10.1016/j.appdev.2010.12.003","Three hypotheses with the potential to provide information on the role of religiosity as a promotive and protective factor in early adolescence were tested. Adolescents (N=166, M age=13years, 49% female, 49% European American, 45% African American) and mothers reported their own personal importance of religion and the frequency of their attendance of religious services. Greater mother importance and attendance was associated with greater adolescent importance and attendance. Mother importance was indirectly linked to adolescent antisocial behavior through adolescent importance. Less adolescent importance and attendance were associated with low self-control and low self-control was associated with more antisocial and rule-breaking behavior. Adolescent importance also moderated the links between low self-control and antisocial and rule-breaking behavior such that low levels of self-control were more strongly associated with more antisocial and rule-breaking behavior among adolescents reporting low religious importance compared to adolescents reporting high religious importance.","Religiosity, Self-control, Antisocial behavior, Adolescence","",""
"Book Chapter","van Kleef E,van Trijp HC","Ares G,Varela P","Chapter 13 - Methodological Challenges of Research in Nudging","","2018","","","329-349","Woodhead Publishing","","Methods in Consumer Research, Volume 1","2018","9780081020890","","https://www.sciencedirect.com/science/article/pii/B9780081020890000133;http://dx.doi.org/10.1016/B978-0-08-102089-0.00013-3","10.1016/B978-0-08-102089-0.00013-3","“Nudges” refers to a variety of simple changes in consumers' choice environment done in such a way that the desired individual choice (e.g., the healthy choice) becomes more likely. Nudging is supposed to work by appealing to consumers' heuristic cues and biases in decision-making. Nudging research to change consumer behavior for the good has been booming since 2006 with diverse research designs and approaches. In this chapter, we present a framework to disentangle the key elements of nudging research such as its characteristic dependent variables (i.e., the behavioral outcomes), independent variables (i.e., the choice architectural changes), mediators (i.e., the intervening psychological processes), and moderators at the individual and contextual level. In doing this, we shed light on relevant methodological considerations and directions for future research.","Biases, Choice architecture, Field study, Heuristics, Intervention, Nudging, Proof implementation, Proof of concept, Proof of principle","","Woodhead Publishing Series in Food Science, Technology and Nutrition"
"Journal Article","Rogoza R,Żemojtel-Piotrowska M,Rogoza M,Piotrowski J,Wyszyńska P","","Narcissistic admiration and rivalry in the context of personality metatraits","Personality and Individual Differences","2016","102","","180-185","","","","2016","","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886916308339;http://dx.doi.org/10.1016/j.paid.2016.07.003","10.1016/j.paid.2016.07.003","Narcissism is a puzzling construct containing many apparent paradoxes. The Narcissistic Admiration and Rivalry Concept represents an attempt to deconstruct some of these paradoxes. In this paper, we relate admiration and rivalry to the personality metatraits, i.e., Plasticity and Stability, in an attempt to demonstrate that the metatrait concept offers an interesting way of framing why admiration seems to be profitable for individuals, whilst rivalry appears to have a net cost. Based on previous studies, we examined how admiration and rivalry were related to self-esteem, impulsivity and personality traits in two prospective studies involving a total of 719 adults. Our results are consistent with those of Back et al. (2013). Additionally, we demonstrated that admiration is composed of extraversion and openness to experience, thus representing the Plasticity (Beta) metatrait, and rivalry is composed of agreeableness, emotional stability and conscientiousness and thus corresponds to the Stability (Alpha) metatrait. In the terminology of the circumplex model of personality metatraits, rivalry can be conceived as the opposite of Stability: Alpha-minus. We suggest that rather than being disagreeable extraverts, narcissists are Unstable Plastics.","Narcissism, Admiration, Rivalry, Personality metatraits","",""
"Journal Article","Fehr R,Yam KC,He W,Chiang JT,Wei W","","Polluted work: A self-control perspective on air pollution appraisals, organizational citizenship, and counterproductive work behavior","Organizational Behavior and Human Decision Processes","2017","143","","98-110","","","","2017","","0749-5978","https://www.sciencedirect.com/science/article/pii/S074959781730095X;http://dx.doi.org/10.1016/j.obhdp.2017.02.002","10.1016/j.obhdp.2017.02.002","In rapidly developing nations such as China, air pollution is a growing concern. Nonetheless, theory and data on the impact of air pollution on employee behavior are essentially nonexistent. In this paper we employ a diary methodology to examine the within-individual effects of air pollution appraisals on employees’ daily self-control resources and behavior. Multilevel data collected across two weeks from 155 employees located in urban China indicate that appraisals of air pollution severity deplete employees’ self-control resources. This depletion in turn mediates the effects of air pollution appraisals on employee behavior, resulting in decreased organizational citizenship behavior and increased counterproductive work behavior. In support of the depletion perspective, the effects of air pollution appraisals are moderated by employees’ trait self-control, and hold even after controlling for employees’ daily negative affectivity and objective levels of air pollution. Implications for future research and practice are discussed.","Air pollution appraisal, Self-control, Organizational citizenship behavior, Counterproductive work behavior, Ego depletion theory","Leveraging phenomenon-based research in China for theory advancement",""
"Journal Article","Dinovo SA,Vasey MW","","Reactive and self-regulatory dimensions of temperament: Interactive relations with symptoms of general distress and anhedonia","Journal of Research in Personality","2011","45","5","430-440","","","","2011","","0092-6566","https://www.sciencedirect.com/science/article/pii/S0092656611000791;http://dx.doi.org/10.1016/j.jrp.2011.05.002","10.1016/j.jrp.2011.05.002","Converging evidence indicates that shared temperamental diatheses partly underlie the covariance between anxiety and depression. Although developmental psychopathology research suggests that self-regulatory temperament (e.g., effortful control or EC) mitigates reactive risks associated with negative affectivity (NA) and positive affectivity (PA), and their respective counterparts, behavioral inhibition- and activation sensitivity (BIS and BAS), no studies have established EC’s protective effects in adulthood. This study examined concurrent relations between temperament and distress symptoms shared by anxiety and depression, and anhedonic symptoms unique to depression, in young adults. Anticipated two- and three-way interactions emerged supporting EC’s moderating effect between reactive temperament (i.e., high BIS and low BAS) and both symptom dimensions. However, no interactive relations emerged between symptoms and NA, PA, and EC.","Effortful control, Emotional reactivity, Self-regulation, Anxiety, Depression","",""
"Journal Article","Weiss A,Forstmann M,Burgmer P","","Moralizing mental states: The role of trait self-control and control perceptions","Cognition","2021","214","","104662","","","","2021","","0010-0277","https://www.sciencedirect.com/science/article/pii/S0010027721000810;http://dx.doi.org/10.1016/j.cognition.2021.104662","10.1016/j.cognition.2021.104662","Which attributes of a person contribute to their tendency to moralize others' thoughts? Adopting an individual-difference approach to moral cognition, eight studies (N = 2,033) investigated how people's ability for self-control shapes their moral reactions to others' mental states. Specifically, Studies 1a-2b found positive predictive effects of trait self-control (TSC) on the moralization (e.g., blaming) of another person's fantasies about different immoral behaviors. While ruling out alternative explanations, they furthermore supported the mediating role of ascribing targets control over their mental states. Studies 3a-3b provided correlational evidence of the perceived ability to control one's own mental states as a mechanism in the relationship between TSC and ascriptions of control to others. Studies 4a-4b followed a causal-chain experimental approach: A manipulation of participants' self-perceived ability to control their emotions impacted their control ascriptions to others over their immoral mental states (Study 4a), and targets perceived as high (vs. low) in control over their immoral mental states elicited stronger moralizing reactions. Taken together, the present studies elucidate why people moralize others' purely mental states, even in the absence of overt behavior. More broadly, they advance our knowledge about the role of individual differences, particularly in self-control, in moral cognition.","Moral judgment, Moralization, Mental states, Trait self-control, Free will, Blame","",""
"Journal Article","Pilarska A","","Big-Five personality and aspects of the self-concept: Variable- and person-centered approaches","Personality and Individual Differences","2018","127","","107-113","","","","2018","","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886918300588;http://dx.doi.org/10.1016/j.paid.2018.01.049","10.1016/j.paid.2018.01.049","This study used variable- and person-oriented approaches to examine the importance of Big-Five personality in predicting aspects of the self-concept (i.e., self-control, self-esteem, and self-feelings). The Mini-IPIP scales (IPIP-BFM-20), Self-Control Scale (SCS), Rosenberg's Self Esteem Scale (SES), and Test of Self-Conscious Affect (TOSCA-3) were administered to 357 Polish students (59% female). The variable-centered approach, based on multiple regression analysis, revealed that the personality traits explained 5 to 45% of the variance in the self-variables, with the largest effect found on self-control. Two-step cluster analysis yielded three personality types, which corresponded to the previously described Resilient, Overcontrolled, and Undercontrolled types, and were meaningfully distinguished on self-variables of interest. However, this type approach showed weaker predictions than continuous and even dichotomized Big-Five traits.","Self-control, Self-esteem, Self-conscious emotions, Big-Five traits, Personality types, Person-centered, Variable-centered","",""
"Journal Article","Horwath CC,Hagmann D,Hartmann C","","The Power of Food: Self-control moderates the association of hedonic hunger with overeating, snacking frequency and palatable food intake","Eating Behaviors","2020","38","","101393","","","","2020","","1471-0153","https://www.sciencedirect.com/science/article/pii/S1471015319300492;http://dx.doi.org/10.1016/j.eatbeh.2020.101393","10.1016/j.eatbeh.2020.101393","The purpose of the study was to explore whether self-control moderates the associations between hedonic hunger and overeating frequency, snacking frequency and palatable food intake. Data from the first wave of the Swiss Food Panel 2.0 study was analyzed (N = 4774), from the German- and French-speaking part of Switzerland (52% men). Measures included hedonic hunger assessed with the Power of Food Scale (PFS), the short form Self-Control Scale, overeating frequency, snacking frequency, intake of high-fat salty snack foods, and intake of high-sugar foods assessed with a semiquantitative food frequency questionnaire. Higher scores on the PFS and lower self-control capacities were correlated with higher intakes of both high-fat salty snack foods and high-sugar foods (referred to here as palatable foods), higher overeating frequency and higher snacking frequency. Four separate moderation analyses revealed that the positive associations of hedonic hunger with overeating frequency, snacking frequency and palatable food intake were significantly attenuated by self-control. Results of the present study indicate that people who are highly sensitive to the ready availability of palatable foods but also have high levels of self-control exhibit less frequent overeating and snacking, including less frequent intake of unhealthy palatable foods, than those low in self-control. Consequently, self-control may prevent overeating and thus may serve as a protective factor that decreases the risk of becoming overweight in individuals who are highly sensitive to the food environment.","","",""
"Journal Article","Heinze PE,Fatfouta R,Schröder-Abé M","","Validation of an implicit measure of antagonistic narcissism","Journal of Research in Personality","2020","88","","103993","","","","2020","","0092-6566","https://www.sciencedirect.com/science/article/pii/S0092656620300817;http://dx.doi.org/10.1016/j.jrp.2020.103993","10.1016/j.jrp.2020.103993","Narcissism has traditionally been assessed using explicit measures, yet contemporary measures are limited in their ability to capture people’s automatic (i.e., implicit) self-evaluations. Here, we propose the antagonistic narcissism Implicit Association Test (AN-IAT). Three studies (N = 1082) using self-, informant-reports, and other implicit measures tested the psychometric properties of the AN-IAT. The AN-IAT showed high internal consistency and good temporal stability. The measure was positively associated with (antagonistic) narcissism, aggression, and lack of empathy, but unrelated to communal, pathological, and agentic narcissism as well as self-esteem. The AN-IAT predicted self- and informant-ratings of aggression and empathy beyond self-reports of antagonistic and agentic narcissism, and agreeableness. Together, the antagonistic narcissism IAT is a promising addition to the assessment of narcissism.","Narcissism, Antagonistic, Implicit self-concept of personality, IAT","",""
"Journal Article","Cantarero K,Van Tilburg WA,Szarota P","","Differentiating everyday lies: A typology of lies based on beneficiary and motivation","Personality and Individual Differences","2018","134","","252-260","","","","2018","","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886918302605;http://dx.doi.org/10.1016/j.paid.2018.05.013","10.1016/j.paid.2018.05.013","We propose a typology of lies that distinguishes six kinds of these in terms of beneficiary (self, Pareto, other) and motivation (protective vs beneficial). We gathered data from a daily diary study (N = 81). Distinct individual differences were related to specific types of lies, showcasing the importance of distinguishing between types of lies. Low self-esteem, high anxiety, and high Machiavellianism involved frequent use of beneficial lies. Conversely, protective lies were negatively related to Machiavellianism and positively to empathy. Self-oriented beneficial lies were related positively to Machiavellianism in particular. Empathy was related to the use of other-oriented protective lies. These results give new insight into the processes that trigger lies and help to integrate and structure research on lying.","Lies, Lying, Self-other, Regulatory focus, Individual differences","",""
"Journal Article","Galić Z,Ružojčić M","","Interaction between implicit aggression and dispositional self-control in explaining counterproductive work behaviors","Personality and Individual Differences","2017","104","","111-117","","","","2017","","0191-8869","https://www.sciencedirect.com/science/article/pii/S0191886916308881;http://dx.doi.org/10.1016/j.paid.2016.07.046","10.1016/j.paid.2016.07.046","Implicit component of aggression as a personality trait seems to be important for understanding aggressive behavior in different life domains, including counterproductive work behaviors (CWBs). However, the expression of aggressive urges might depend on the level of self-control an individual possesses. In this paper we report the results of 2 studies that tested the interaction between implicit aggression, as measured with the Conditional Reasoning Test for Aggression (CRT-A), and dispositional self-control (DSC) in explaining counterproductive work behaviors (CWBs). In Study 1, 333 employees completed a study package consisting of the CRT-A, a DSC scale, and a CWB scale. In Study 2, an additional sample of employees (n=341) completed a research battery consisting of the CRT-A, another DSC scale, and another CWB instrument. Additionally, in Study 2 we collected ratings about the participants' DSC and CWBs from their coworkers. The moderation analyses confirmed that high DSC buffers the effect of implicit aggression on self-reported CWBs in both studies, irrespective of whether self-control was self- or other-reported. However, the moderation effect was nonsignificant when other-reports of CWBs were used as the criteria.","Implicit aggression, Dispositional self-control, Counterproductive work behaviors, The Conditional Reasoning Test for Aggression","",""
"Book Chapter","Shumack DC,Ogilvie JM,Smallbone S,Woodford EL","Bromberg DS,O'Donohue WT","Chapter 17 - Increasing Self-Control","","2014","","","427-447","Academic Press","San Diego","Toolkit for Working with Juvenile Sex Offenders","2014","9780124059481","","https://www.sciencedirect.com/science/article/pii/B9780124059481000177;http://dx.doi.org/10.1016/B978-0-12-405948-1.00017-7","10.1016/B978-0-12-405948-1.00017-7","The focus of this chapter is on therapeutic strategies to improve self-control for juvenile sexual offenders. First, to provide a context for the chapter, we present a summary of conceptual issues related to self-control. Next, we briefly review research examining the links between self-control and juvenile sexual offending. We then provide an overview of self-control assessment measures and resources. Finally, we summarize therapeutic strategies for improving self-control, and provide some tools that may be used to facilitate this process.","self-control, juvenile sex offenders, measurement, therapeutic engagement, therapeutic strategies","",""
