Authors,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Publisher,PubMed ID,Document Type,Publication Stage,Open Access,Source,EID
"Modic D., Anderson R., Palomäki J.","56378938500;56431276600;55177884100;","We will make you like our research: The development of a susceptibility-to-persuasion scale",2018,"PLoS ONE","13","3","e0194119","","",,15,"10.1371/journal.pone.0194119","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044074502&doi=10.1371%2fjournal.pone.0194119&partnerID=40&md5=9aa6f502d538242ba314e81789861c1a","Public Library of Science","29543845",Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85044074502
"Van Tongeren D.R., DeWall C.N., Green J.D., Cairo A.H., Davis D.E., Hook J.N.","31067462900;6507380747;55463727100;57191416022;55185501900;16052590700;","Self-regulation facilitates meaning in life",2018,"Review of General Psychology","22","1",,"95","106",,12,"10.1037/gpr0000121","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85027967814&doi=10.1037%2fgpr0000121&partnerID=40&md5=6eba0f60838547f2c31b7e03e1a0ccfc","American Psychological Association Inc.",,Article,"Final","",Scopus,2-s2.0-85027967814
"Wolfe S.E., Nix J., Campbell B.A.","24449536000;56587611100;56462053100;","Police managers' self-control and support for organizational justice",2018,"Law and Human Behavior","42","1",,"71","82",,11,"10.1037/lhb0000273","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042231531&doi=10.1037%2flhb0000273&partnerID=40&md5=9b04274fa23514905805c1ef8926c3ae","American Psychological Association Inc.","29461078",Article,"Final","",Scopus,2-s2.0-85042231531
"Elliot A.J., Aldhobaiban N., Murayama K., Kobeisy A., Gocłowska M.A., Khyat A.","7005287437;56811661200;11042338700;55795482600;55319088500;57090867300;","Impression management and achievement motivation: Investigating substantive links",2018,"International Journal of Psychology","53","1",,"16","22",,9,"10.1002/ijop.12252","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956620188&doi=10.1002%2fijop.12252&partnerID=40&md5=e3750b7336e806a42a7144af2188b35b","Wiley-Blackwell Publishing Ltd","26805032",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84956620188
"Baumeister R.F., Vohs K.D.","7102470609;7004605055;","Strength model of self-regulation as limited resource: Assessment, controversies, update",2018,"Self-Regulation and Self-Control: Selected Works of Roy F. Baumeister",,,,"78","128",,12,"10.4324/9781315175775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045326858&doi=10.4324%2f9781315175775&partnerID=40&md5=635491b01cf3003fd4c9d32863c4e97e","Taylor and Francis",,Book Chapter,"Final","",Scopus,2-s2.0-85045326858
"Gailliot M.T., Baumeister R.F.","11839125500;7102470609;","The physiology of willpower: Linking blood glucose to self-control",2018,"Self-Regulation and Self-Control: Selected Works of Roy F. Baumeister",,,,"129","172",,7,"10.4324/9781315175775","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85045307150&doi=10.4324%2f9781315175775&partnerID=40&md5=9156321c62f7fe51e914476a799a81f6","Taylor and Francis",,Book Chapter,"Final","",Scopus,2-s2.0-85045307150
"Zolotareva A.A.","57200380109;","The self-possession scale: Psychometric features and perspectives of application",2018,"Psikhologicheskii Zhurnal","39","1",,"103","114",,,"10.7868/S0205959218010105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85046620141&doi=10.7868%2fS0205959218010105&partnerID=40&md5=026ddd3dec0b19404be8d25a9a73bd98","Russian Academy of Sciences",,Article,"Final","",Scopus,2-s2.0-85046620141
"Konopaske R., Kirby E.G., Kirby S.L.","6508369189;35514973600;7102236834;","Positive disposition in the prediction of strategic independence among millennials",2017,"Administrative Sciences","7","4","38","","",,,"10.3390/admsci7040038","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118824444&doi=10.3390%2fadmsci7040038&partnerID=40&md5=2a9a296b346d72f5daa916b1aa5002b4","MDPI",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85118824444
"Fehr R., Yam K.C., He W., Chiang J.T.-J., Wei W.","24777902900;55513015400;56701480100;55797155600;57195231726;","Polluted work: A self-control perspective on air pollution appraisals, organizational citizenship, and counterproductive work behavior",2017,"Organizational Behavior and Human Decision Processes","143",,,"98","110",,44,"10.1016/j.obhdp.2017.02.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016072864&doi=10.1016%2fj.obhdp.2017.02.002&partnerID=40&md5=1129b0457145d2a8f5f397dd8c8c69d7","Academic Press Inc.",,Article,"Final","",Scopus,2-s2.0-85016072864
"Janssen L., Fennis B.M.","24554138800;6507982433;","Mindless resistance to persuasion: Low self-control fosters the use of resistance-promoting heuristics",2017,"Journal of Consumer Behaviour","16","6",,"536","549",,2,"10.1002/cb.1646","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85015230881&doi=10.1002%2fcb.1646&partnerID=40&md5=d91827d382945841dc95eba908e5e1b1","John Wiley and Sons Ltd",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-85015230881
"Finley A.J., Crowell A.L., Harmon-Jones E., Schmeichel B.J.","56957973500;56364260600;7003876775;6506692179;","The Influence of Agreeableness and Ego Depletion on Emotional Responding",2017,"Journal of Personality","85","5",,"643","657",,4,"10.1111/jopy.12267","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994655400&doi=10.1111%2fjopy.12267&partnerID=40&md5=7dc9171db908efec8644eee6cd71c9f1","Blackwell Publishing Ltd","27364230",Article,"Final","All Open Access, Bronze",Scopus,2-s2.0-84994655400
"Moule R.K., Jr., Decker S.H., Pyrooz D.C.","55626542900;7102710382;33867765400;","Technology and conflict: Group processes and collective violence in the Internet era",2017,"Crime, Law and Social Change","68","1-2",,"47","73",,26,"10.1007/s10611-016-9661-3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85003952238&doi=10.1007%2fs10611-016-9661-3&partnerID=40&md5=a077bcf258653c862d81bc7cf410078f","Springer Netherlands",,Article,"Final","",Scopus,2-s2.0-85003952238
"Frey K.P., Gregg A.P.","7101948065;7005734740;","Experiments with people: Revelations from social psychology: Second edition",2017,"Experiments With People: Revelations From Social Psychology: Second Edition",,,,"1","266",,1,"10.4324/9781315101347","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042260015&doi=10.4324%2f9781315101347&partnerID=40&md5=ac732afa9db88d4c9e63bb6f58ca069b","Taylor and Francis",,Book,"Final","",Scopus,2-s2.0-85042260015
"Job V., Walton G.M.","24472024600;7101769804;","Lay theories of self-control",2017,"The Science of Lay Theories: How Beliefs Shape Our Cognition, Behavior, and Health",,,,"47","69",,3,"10.1007/978-3-319-57306-9_3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85053063366&doi=10.1007%2f978-3-319-57306-9_3&partnerID=40&md5=108009f5d6e7316dfcae02a763079075","Springer International Publishing",,Book Chapter,"Final","",Scopus,2-s2.0-85053063366
"Shields G.S., Moons W.G., Slavich G.M.","56581519800;16245784300;16023003700;","Inflammation, Self-Regulation, and Health: An Immunologic Model of Self-Regulatory Failure",2017,"Perspectives on Psychological Science","12","4",,"588","612",,49,"10.1177/1745691616689091","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85025137685&doi=10.1177%2f1745691616689091&partnerID=40&md5=bdf33ed0caea48991b0496f1dab5757f","SAGE Publications Inc.","28679069",Article,"Final","All Open Access, Green",Scopus,2-s2.0-85025137685
"König L.M., Giese H., Stok F.M., Renner B.","56567862400;55746274300;35747499200;24399780000;","The social image of food: Associations between popularity and eating behavior",2017,"Appetite","114",,,"248","258",,18,"10.1016/j.appet.2017.03.039","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85017112803&doi=10.1016%2fj.appet.2017.03.039&partnerID=40&md5=fa7727067444fb33f8a71e28cb9c272c","Academic Press","28363813",Article,"Final","",Scopus,2-s2.0-85017112803
"Lian H., Yam K.C., Ferris D.L., Brown D.","25923391100;55513015400;25224943700;55738760000;","Self-control at work",2017,"Academy of Management Annals","11","2",,"703","732",,66,"10.5465/annals.2015.0126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85042724922&doi=10.5465%2fannals.2015.0126&partnerID=40&md5=792d1ddbef6dd937c34d60e81c41fd34","Routledge",,Article,"Final","",Scopus,2-s2.0-85042724922
"Tyler J.M., Calogero R.M., Adams K.E.","7202101684;14059513700;8557541400;","Perpetuation of sexual objectification: The role of resource depletion",2017,"British Journal of Social Psychology","56","2",,"334","353",,11,"10.1111/bjso.12157","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84992618586&doi=10.1111%2fbjso.12157&partnerID=40&md5=5ab7d5b7ece50da74829b84f513ea9cc","John Wiley and Sons Ltd.","27600438",Conference Paper,"Final","",Scopus,2-s2.0-84992618586
"Deng H., Walter F., Lam C.K., Zhao H.H.","36149159900;9744753400;35753544200;56504114300;","Spillover Effects of Emotional Labor in Customer Service Encounters Toward Coworker Harming: A Resource Depletion Perspective",2017,"Personnel Psychology","70","2",,"469","502",,35,"10.1111/peps.12156","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963533526&doi=10.1111%2fpeps.12156&partnerID=40&md5=c4f96f33710b46e27c526b113a1bba54","Blackwell Publishing Inc.",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84963533526
"Uziel L., Baumeister R.F.","16305445700;7102470609;","The Self-Control Irony: Desire for Self-Control Limits Exertion of Self-Control in Demanding Settings",2017,"Personality and Social Psychology Bulletin","43","5",,"693","705",,13,"10.1177/0146167217695555","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018939502&doi=10.1177%2f0146167217695555&partnerID=40&md5=827b004b089412dfcbb1d58dfc61ad5a","SAGE Publications Inc.","28903642",Article,"Final","",Scopus,2-s2.0-85018939502
"Bernecker K., Job V.","36241458200;24472024600;","Implicit theories about willpower in resisting temptations and emotion control",2017,"Zeitschrift fur Psychologie / Journal of Psychology","225","2",,"157","166",,10,"10.1027/2151-2604/a000292","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85026422836&doi=10.1027%2f2151-2604%2fa000292&partnerID=40&md5=70a26f2d4c692c9602cabb0c61591e76","Hogrefe Verlag GmbH & Co. KG",,Article,"Final","",Scopus,2-s2.0-85026422836
"Keatley D.A., Allom V., Mullan B.","28767858600;39260997700;24344595500;","The effects of implicit and explicit self-control on self-reported aggression",2017,"Personality and Individual Differences","107",,,"154","158",,7,"10.1016/j.paid.2016.11.046","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84997610373&doi=10.1016%2fj.paid.2016.11.046&partnerID=40&md5=adfb45a71db22932931a46cfddcc220d","Elsevier Ltd",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84997610373
"Maranges H.M., McNulty J.K.","57190072641;7102729349;","The rested relationship: Sleep benefits marital evaluations",2017,"Journal of Family Psychology","31","1",,"117","122",,10,"10.1037/fam0000225","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84977142694&doi=10.1037%2ffam0000225&partnerID=40&md5=593cf4258fd442d86fd7a0165d7011f7","American Psychological Association Inc.","27380011",Article,"Final","",Scopus,2-s2.0-84977142694
"Barber L.K., Santuzzi A.M.","25421348100;6506403258;","Telepressure and College Student Employment: The Costs of Staying Connected Across Social Contexts",2017,"Stress and Health","33","1",,"14","23",,26,"10.1002/smi.2668","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84957538577&doi=10.1002%2fsmi.2668&partnerID=40&md5=d5ac3a631a5bc6c06723a5bea1e94232","John Wiley and Sons Ltd","26833698",Article,"Final","",Scopus,2-s2.0-84957538577
"Ben-Eliyahu A.","24365720700;","Individual differences and learning contexts: A self-regulated learning perspective",2017,"Teachers College Record","119","13","130312","","",,5,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85044359348&partnerID=40&md5=0a06c277c011f9f2da55bc555e80bf80","Teachers College, Columbia University",,Article,"Final","",Scopus,2-s2.0-85044359348
"Baumeister R.F., Clark C.J., Kim J.","7102470609;56106126600;56809725800;","Pragmatic prospection emphasizes utility of predicting rather than mere predictability",2017,"Behavioral and Brain Sciences","40",,"e77","13","14",,,"10.1017/S0140525X16000984","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85040717578&doi=10.1017%2fS0140525X16000984&partnerID=40&md5=463f4ba8547b190115cb8bb1fc4ba722","Cambridge University Press","29342539",Article,"Final","",Scopus,2-s2.0-85040717578
"Wang Y.-J., Dou K., Tang Z.-W.","57192912302;56149365700;57197747107;","The relationship between trait self-control, consideration for future consequence and organizational citizenship behavior among Chinese employees",2017,"Work","58","3",,"341","347",,6,"10.3233/WOR-172622","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85034453379&doi=10.3233%2fWOR-172622&partnerID=40&md5=13ebeb206405dfa8f0422f2596fa7427","IOS Press","29036869",Article,"Final","",Scopus,2-s2.0-85034453379
"Van Lange P.A.M., Rinderu M.I., Bushman B.J.","7004460194;57189369276;7007159799;","The Logic of Climate and Culture: Evolutionary and Psychological Aspects of CLASH",2017,"Behavioral and Brain Sciences","40",,"e104","42","58",,6,"10.1017/S0140525X16001564","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019161439&doi=10.1017%2fS0140525X16001564&partnerID=40&md5=2641682d10d6c4e83f6222941bb2d572","Cambridge University Press","29342565",Review,"Final","",Scopus,2-s2.0-85019161439
"Heller S., Borsay F., Ullrich J.","57192820496;57197760454;16475186000;","Social power and dimensions of self-control: Does power benefit initiatory self-control but impair inhibitory self-control?",2017,"Cogent Psychology","4","1","1288351","","",,3,"10.1080/23311908.2017.1288351","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85018256334&doi=10.1080%2f23311908.2017.1288351&partnerID=40&md5=3beb1fe8d0fc897ae96c73771f50cd20","Cogent OA",,Article,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-85018256334
"Van Lange P.A.M., Rinderu M.I., Bushman B.J.","7004460194;57189369276;7007159799;","Aggression and violence around the world: A model of CLimate, Aggression, and Self-control in Humans (CLASH)",2017,"Behavioral and Brain Sciences","40",,"e75","","",,48,"10.1017/S0140525X16000406","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84969760770&doi=10.1017%2fS0140525X16000406&partnerID=40&md5=6dc41219ef090abf35da77b6c588a5bb","Cambridge University Press","27210865",Article,"Final","",Scopus,2-s2.0-84969760770
"Uziel L.","16305445700;","Alone, Unhappy, and Demotivated: The Impact of an Alone Mind-Set on Neurotic Individuals’ Willpower",2016,"Social Psychological and Personality Science","7","8",,"818","827",,7,"10.1177/1948550616657597","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84994184170&doi=10.1177%2f1948550616657597&partnerID=40&md5=94788795d08f8d5216beb700e0e4213d","SAGE Publications Inc.",,Article,"Final","",Scopus,2-s2.0-84994184170
"Ruttan R.L., Nordgren L.F.","54881488400;12144074900;","The strength to face the facts: Self-regulation defends against defensive information processing",2016,"Organizational Behavior and Human Decision Processes","137",,,"86","98",,6,"10.1016/j.obhdp.2016.06.006","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84982292387&doi=10.1016%2fj.obhdp.2016.06.006&partnerID=40&md5=e1b0f74b6c20a2642d63a4356f511cde","Academic Press Inc.",,Article,"Final","",Scopus,2-s2.0-84982292387
"Ghorbani N., Watson P.J., Madani M., Chen Z.J.","6506648058;55906302400;57225799738;56828298700;","Muslim Experiential Religiousness: Spirituality Relationships With Psychological and Religious Adjustment in Iran",2016,"Journal of Spirituality in Mental Health","18","4",,"300","315",,5,"10.1080/19349637.2016.1162676","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84967076131&doi=10.1080%2f19349637.2016.1162676&partnerID=40&md5=c915038f2011ce3d0b66a67e804e134e","Routledge",,Article,"Final","",Scopus,2-s2.0-84967076131
"Guarana C.L., Hernandez M.","56491296600;24174289300;","Identified ambivalence: When cognitive conflicts can help individuals overcome cognitive traps",2016,"Journal of Applied Psychology","101","7",,"1013","1029",,24,"10.1037/apl0000105","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959907907&doi=10.1037%2fapl0000105&partnerID=40&md5=8081673072efe6269741c55873399f2b","American Psychological Association Inc.","26963080",Article,"Final","",Scopus,2-s2.0-84959907907
"Agnew R.","7006602691;","A theory of crime resistance and susceptibility",2016,"Criminology","54","2",,"181","211",,18,"10.1111/1745-9125.12104","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963652781&doi=10.1111%2f1745-9125.12104&partnerID=40&md5=af3ce70a1f9c94bca8561c8c1516a30d","Blackwell Publishing Inc.",,Article,"Final","",Scopus,2-s2.0-84963652781
"Orth U.R., Wirtz J., McKinney A.","7003302574;7004549683;57188860141;","Shopping experiences in visually complex environments: a self-regulation account",2016,"Journal of Service Management","27","2",,"194","217",,17,"10.1108/JOSM-10-2014-0268","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963858053&doi=10.1108%2fJOSM-10-2014-0268&partnerID=40&md5=e64d8e42da41f5e4d2d9876e2d33e728","Emerald Group Publishing Ltd.",,Article,"Final","",Scopus,2-s2.0-84963858053
"Achtziger A., Alós-Ferrer C., Wagner A.K.","23488157200;6602688060;37123160200;","The impact of self-control depletion on social preferences in the ultimatum game",2016,"Journal of Economic Psychology","53",,,"1","16",,26,"10.1016/j.joep.2015.12.005","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84954222751&doi=10.1016%2fj.joep.2015.12.005&partnerID=40&md5=bf763c72ae2d1ba4415bf916e465bb58","Elsevier",,Article,"Final","",Scopus,2-s2.0-84954222751
"Englert C.","57189178989;","The strength model of self-control in sport and exercise psychology",2016,"Frontiers in Psychology","7","MAR","314","","",,79,"10.3389/fpsyg.2016.00314","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84963660217&doi=10.3389%2ffpsyg.2016.00314&partnerID=40&md5=37989ee5a892802021d5eea5f1fbf4cd","Frontiers Research Foundation",,Review,"Final","All Open Access, Gold, Green",Scopus,2-s2.0-84963660217
"Yam K.C., Fehr R., Keng-Highberger F.T., Klotz A.C., Reynolds S.J.","55513015400;24777902900;56734500100;36170756500;7201868835;","Out of control: A self-control perspective on the link between surface acting and abusive supervision",2016,"Journal of Applied Psychology","101","2",,"292","301",,91,"10.1037/apl0000043","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84958843598&doi=10.1037%2fapl0000043&partnerID=40&md5=8a8ff9853a7c8afde87289c0c485b0f6","American Psychological Association Inc.","26214087",Article,"Final","",Scopus,2-s2.0-84958843598
"Burkley E., Hatvany T.","14521983000;56495157700;","Self-control and the susceptibility to persuasion, compliance, and conformity",2016,"The Psychology of Consumer and Social Influence: Theory and Research",,,,"25","47",,,,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85024880011&partnerID=40&md5=9f6d61d15aa41fa6e8bd1c73cadfe4d2","Nova Science Publishers, Inc.",,Book Chapter,"Final","",Scopus,2-s2.0-85024880011
"Magnusen M., Perrewé P.L.","35170422500;7004656155;","The role of social effectiveness in leadership: A critical review and lessons for sport management",2016,"Sport Management Education Journal","10","1",,"64","77",,7,"10.1123/SMEJ.2014-0032","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85009186270&doi=10.1123%2fSMEJ.2014-0032&partnerID=40&md5=408c5e69dbf44df719f8b4d7f152dcd8","Human Kinetics Publishers Inc.",,Article,"Final","",Scopus,2-s2.0-85009186270
"Baumeister R.F., Vohs K.D.","7102470609;7004605055;","Strength model of self-regulation as limited resource: Assessment, controversies, update",2016,"Advances in Experimental Social Psychology","54",,,"67","127",,129,"10.1016/bs.aesp.2016.04.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84965140876&doi=10.1016%2fbs.aesp.2016.04.001&partnerID=40&md5=68eec84311335b2bc53fa9747fe3b015","Academic Press Inc.",,Book Chapter,"Final","",Scopus,2-s2.0-84965140876
"McIntyre J.C., von Hippel W., Barlow F.K.","56339836100;6603946209;24758154400;","Self-Regulation and Power: How Self-Regulatory Failures Can Enhance Social Power",2016,"Social and Personality Psychology Compass","10","1",,"41","49",,4,"10.1111/spc3.12228","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84953776053&doi=10.1111%2fspc3.12228&partnerID=40&md5=5e19fdc1fdc72c2a5090c68765e24909","Wiley-Blackwell",,Article,"Final","All Open Access, Green",Scopus,2-s2.0-84953776053
"Baron R.A., Mueller B.A., Wolfe M.T.","7202712750;56228332600;54879990400;","Self-efficacy and entrepreneurs' adoption of unattainable goals: The restraining effects of self-control",2016,"Journal of Business Venturing","31","1",,"55","71",,78,"10.1016/j.jbusvent.2015.08.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84947865368&doi=10.1016%2fj.jbusvent.2015.08.002&partnerID=40&md5=075fe0bb637c2cc0ec6919ee68f94c8c","Elsevier Inc.",,Article,"Final","",Scopus,2-s2.0-84947865368
"Cheng D., Wang L.","57220824230;57190027250;","Examining the Energizing Effects of Humor: The Influence of Humor on Persistence Behavior",2015,"Journal of Business and Psychology","30","4",,"759","772",,26,"10.1007/s10869-014-9396-z","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948570618&doi=10.1007%2fs10869-014-9396-z&partnerID=40&md5=c46794e2be3cf9041c0fbfab2afc05d5","Springer New York LLC",,Article,"Final","",Scopus,2-s2.0-84948570618
"Lin P.-Y., Wood W., Monterosso J.","57183483700;35244109900;6602520277;","Healthy eating habits protect against temptations",2015,"Appetite","103",,,"432","440",,30,"10.1016/j.appet.2015.11.011","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84961178576&doi=10.1016%2fj.appet.2015.11.011&partnerID=40&md5=0b359fc3c73189657d34434fb1aa8d82","Academic Press","26585633",Article,"Final","",Scopus,2-s2.0-84961178576
"Job V., Bernecker K., Miketta S., Friese M.","24472024600;36241458200;56681104700;12143724600;","Implicit theories about willpower predict the activation of a rest goal following self-control exertion",2015,"Journal of Personality and Social Psychology","109","4",,"694","706",,54,"10.1037/pspp0000042","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84942549490&doi=10.1037%2fpspp0000042&partnerID=40&md5=6f2ce2ef268662b923edab642f484386","American Psychological Association Inc.","26075793",Article,"Final","",Scopus,2-s2.0-84942549490
"Molnar D.S., Sirois F.M., Methot-Jones T.","13610811200;7003783014;56966760900;","Trying to be perfect in an imperfect world: Examining the role of perfectionism in the context of chronic illness",2015,"Perfectionism, Health, and Well-Being",,,,"69","99",,11,"10.1007/978-3-319-18582-8_4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84955355349&doi=10.1007%2f978-3-319-18582-8_4&partnerID=40&md5=51db401d0be69d0a331977a97c863660","Springer International Publishing",,Book Chapter,"Final","",Scopus,2-s2.0-84955355349
"Mauersberger H., Blaison C., Kafetsios K., Kessler C.-L., Hess U.","56798223200;24075531700;12798824100;56797596600;7006910783;","Individual Differences in Emotional Mimicry: Underlying Traits and Social Consequences",2015,"European Journal of Personality","29","5",,"512","529",,13,"10.1002/per.2008","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84945444198&doi=10.1002%2fper.2008&partnerID=40&md5=ef22720a18e1c8203135a40788623ce6","John Wiley and Sons Ltd",,Article,"Final","",Scopus,2-s2.0-84945444198
"Kelley W.M., Wagner D.D., Heatherton T.F.","57214416032;24829824600;7003350269;","In Search of a Human Self-Regulation System",2015,"Annual Review of Neuroscience","38",,,"389","411",,83,"10.1146/annurev-neuro-071013-014243","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84937410312&doi=10.1146%2fannurev-neuro-071013-014243&partnerID=40&md5=cad24b0870be8831985216319c74afad","Annual Reviews Inc.","25938728",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84937410312
"Pratt T.C.","7102074623;","A Reconceptualized Model of Self-Control and Crime: Specifying the Role of Self-Control Variability",2015,"Criminal Justice and Behavior","42","6",,"662","679",,10,"10.1177/0093854814557888","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930509284&doi=10.1177%2f0093854814557888&partnerID=40&md5=a06be3770b70023774853543d3deba06","SAGE Publications Inc.",,Article,"Final","",Scopus,2-s2.0-84930509284
"vanDellen M.R., Shah J.Y., Leander N.P., Delose J.E., Bornstein J.X.","35293689700;7403266002;34969250100;56433470700;56668442500;","In Good Company: Managing Interpersonal Resources That Support Self-Regulation",2015,"Personality and Social Psychology Bulletin","41","6",,"869","882",,19,"10.1177/0146167215580778","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84930386198&doi=10.1177%2f0146167215580778&partnerID=40&md5=476e75e94845cc2bb4936ef57cb3e0f0","SAGE Publications Inc.","25840988",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84930386198
"Bornstein M.H., Putnick D.L., Lansford J.E., Pastorelli C., Skinner A.T., Sorbring E., Tapanya S., Uribe Tirado L.M., Zelli A., Alampay L.P., Al-Hassan S.M., Bacchini D., Bombi A.S., Chang L., Deater-Deckard K., Di Giunta L., Dodge K.A., Malone P.S., Oburu P.","7102912887;14049045800;7003639329;6701500087;35976702900;6506914026;14064077200;44861987200;6602098039;35731029700;36496358200;9247670600;7801311534;36180762700;7004361275;25627159200;7006549582;7102423479;8437043600;","Mother and father socially desirable responding in nine countries: Two kinds of agreement and relations to parenting self-reports",2015,"International Journal of Psychology","50","3",,"174","185",,64,"10.1002/ijop.12084","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928749061&doi=10.1002%2fijop.12084&partnerID=40&md5=23f7cd66566609adffd984eb14e077be","Wiley-Blackwell Publishing Ltd","25043708",Article,"Final","All Open Access, Green",Scopus,2-s2.0-84928749061
"Bridgett D.J., Burt N.M., Edwards E.S., Deater-Deckard K.","55955278900;55760992500;56625568700;7004361275;","Intergenerational transmission of self-regulation: A multidisciplinary review and integrative conceptual framework",2015,"Psychological Bulletin","141","3",,"602","654",,290,"10.1037/a0038662","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927150978&doi=10.1037%2fa0038662&partnerID=40&md5=79a116a808e42b23e776f63bb878d801","American Psychological Association Inc.","25938878",Article,"Final","All Open Access, Bronze, Green",Scopus,2-s2.0-84927150978
"Barber L.K., Budnick C.J.","25421348100;55960245200;","Turning molehills into mountains: Sleepiness increases workplace interpretive bias",2015,"Journal of Organizational Behavior","36","3",,"360","381",,15,"10.1002/job.1992","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84927798009&doi=10.1002%2fjob.1992&partnerID=40&md5=bfa97c62467d690e5411500e3f8d7aa1","John Wiley and Sons Ltd",,Article,"Final","",Scopus,2-s2.0-84927798009
"Hurley P.J.","56988787800;","Ego depletion: Applications and implications for auditing research",2015,"Journal of Accounting Literature","35",,,"47","76",,9,"10.1016/j.acclit.2015.10.001","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84949036000&doi=10.1016%2fj.acclit.2015.10.001&partnerID=40&md5=bb9c477527755520f8888452117b01cf","Elsevier Ltd",,Article,"Final","",Scopus,2-s2.0-84949036000
"Achtziger A., Alós-Ferrer C., Wagner A.K.","23488157200;6602688060;37123160200;","Money, depletion, and prosociality in the dictator game",2015,"Journal of Neuroscience, Psychology, and Economics","8","1",,"1","14",,64,"10.1037/npe0000031","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84925638310&doi=10.1037%2fnpe0000031&partnerID=40&md5=5b385e1c47a6ee75197a980378f42a00","American Psychological Association",,Article,"Final","",Scopus,2-s2.0-84925638310
"Mac Kenzie M.J., Baumeister R.F.","57091613900;7102470609;","Self-regulatory strength and mindfulness",2015,"Handbook of Mindfulness and Self-Regulation",,,,"95","106",,6,"10.1007/978-1-4939-2263-5_8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84956722978&doi=10.1007%2f978-1-4939-2263-5_8&partnerID=40&md5=0061cf723c5b298c8925e87bdd66f64a","Springer New York",,Book Chapter,"Final","",Scopus,2-s2.0-84956722978
